Navn;Stasjon;Tid(norsk normaltid);Høyeste lufttrykk i havnivå (døgn);Laveste lufttrykk i havnivå (døgn)
Trondheim - Voll;SN68860;01.01.2015;1008,8;984,5
Trondheim - Voll;SN68860;02.01.2015;987,5;979,5
Trondheim - Voll;SN68860;03.01.2015;1003,3;988,6
Trondheim - Voll;SN68860;04.01.2015;1018,2;1004,5
Trondheim - Voll;SN68860;05.01.2015;1020,4;1017,5
Trondheim - Voll;SN68860;06.01.2015;1017,2;1001,9
Trondheim - Voll;SN68860;07.01.2015;1009,5;993,4
Trondheim - Voll;SN68860;08.01.2015;994,6;987,7
Trondheim - Voll;SN68860;09.01.2015;994,4;990,7
Trondheim - Voll;SN68860;10.01.2015;990,3;964,8
Trondheim - Voll;SN68860;11.01.2015;993,6;976,6
Trondheim - Voll;SN68860;12.01.2015;992,2;971
Trondheim - Voll;SN68860;13.01.2015;978,7;971,6
Trondheim - Voll;SN68860;14.01.2015;986,3;978,1
Trondheim - Voll;SN68860;15.01.2015;987,4;975
Trondheim - Voll;SN68860;16.01.2015;979,1;971,1
Trondheim - Voll;SN68860;17.01.2015;998,4;980
Trondheim - Voll;SN68860;18.01.2015;1013,8;999
Trondheim - Voll;SN68860;19.01.2015;1020,1;1014,1
Trondheim - Voll;SN68860;20.01.2015;1023,3;1020
Trondheim - Voll;SN68860;21.01.2015;1025,9;1023,3
Trondheim - Voll;SN68860;22.01.2015;1025,4;1021,5
Trondheim - Voll;SN68860;23.01.2015;1021,3;1001,2
Trondheim - Voll;SN68860;24.01.2015;1009;996,7
Trondheim - Voll;SN68860;25.01.2015;1015;1001
Trondheim - Voll;SN68860;26.01.2015;1006;1000,1
Trondheim - Voll;SN68860;27.01.2015;1007;991,9
Trondheim - Voll;SN68860;28.01.2015;990,8;965,4
Trondheim - Voll;SN68860;29.01.2015;964,5;960,8
Trondheim - Voll;SN68860;30.01.2015;979,4;963,4
Trondheim - Voll;SN68860;31.01.2015;990,1;979,6
Trondheim - Voll;SN68860;01.02.2015;991,1;989,8
Trondheim - Voll;SN68860;02.02.2015;999,5;990,6
Trondheim - Voll;SN68860;03.02.2015;1012,1;999,8
Trondheim - Voll;SN68860;04.02.2015;1021,4;1012,6
Trondheim - Voll;SN68860;05.02.2015;1021,5;1019,6
Trondheim - Voll;SN68860;06.02.2015;1023,4;1014,7
Trondheim - Voll;SN68860;07.02.2015;1015,2;1004,3
Trondheim - Voll;SN68860;08.02.2015;1018,2;1005,7
Trondheim - Voll;SN68860;09.02.2015;1011,2;1007,7
Trondheim - Voll;SN68860;10.02.2015;1011,7;1010,4
Trondheim - Voll;SN68860;11.02.2015;1011,1;1005,2
Trondheim - Voll;SN68860;12.02.2015;1015,9;1004,4
Trondheim - Voll;SN68860;13.02.2015;1015,6;1010,2
Trondheim - Voll;SN68860;14.02.2015;1024,3;1012,2
Trondheim - Voll;SN68860;15.02.2015;1025,9;1022,3
Trondheim - Voll;SN68860;16.02.2015;1021,4;1013
Trondheim - Voll;SN68860;17.02.2015;1012,8;1004,8
Trondheim - Voll;SN68860;18.02.2015;1015;1003,2
Trondheim - Voll;SN68860;19.02.2015;1002,7;994
Trondheim - Voll;SN68860;20.02.2015;993,1;986,6
Trondheim - Voll;SN68860;21.02.2015;988,7;984,4
Trondheim - Voll;SN68860;22.02.2015;990,8;988,4
Trondheim - Voll;SN68860;23.02.2015;987,4;974,7
Trondheim - Voll;SN68860;24.02.2015;990;979,7
Trondheim - Voll;SN68860;25.02.2015;1009,1;990,2
Trondheim - Voll;SN68860;26.02.2015;1008,8;997,8
Trondheim - Voll;SN68860;27.02.2015;1001,8;999,5
Trondheim - Voll;SN68860;28.02.2015;1002,2;987,9
Trondheim - Voll;SN68860;01.03.2015;986,9;973,3
Trondheim - Voll;SN68860;02.03.2015;993,4;976,2
Trondheim - Voll;SN68860;03.03.2015;1001,9;994,2
Trondheim - Voll;SN68860;04.03.2015;1017,9;1002,3
Trondheim - Voll;SN68860;05.03.2015;1021;1008,5
Trondheim - Voll;SN68860;06.03.2015;1017,8;1001,7
Trondheim - Voll;SN68860;07.03.2015;1000,1;988,3
Trondheim - Voll;SN68860;08.03.2015;1006,5;992,6
Trondheim - Voll;SN68860;09.03.2015;1015;1003,3
Trondheim - Voll;SN68860;10.03.2015;1017,5;990
Trondheim - Voll;SN68860;11.03.2015;1029,2;1019
Trondheim - Voll;SN68860;12.03.2015;1033,9;1019,4
Trondheim - Voll;SN68860;13.03.2015;1040,5;1027,6
Trondheim - Voll;SN68860;14.03.2015;1044,6;1041,3
Trondheim - Voll;SN68860;15.03.2015;1044,8;1041,2
Trondheim - Voll;SN68860;16.03.2015;1042,1;1039,3
Trondheim - Voll;SN68860;17.03.2015;1039,5;1034,7
Trondheim - Voll;SN68860;18.03.2015;1034,8;1028
Trondheim - Voll;SN68860;19.03.2015;1027,8;1024,6
Trondheim - Voll;SN68860;20.03.2015;1024,7;1019,3
Trondheim - Voll;SN68860;21.03.2015;1029,1;1021,2
Trondheim - Voll;SN68860;22.03.2015;1020,1;1000
Trondheim - Voll;SN68860;23.03.2015;998,5;987
Trondheim - Voll;SN68860;24.03.2015;1017,6;998,3
Trondheim - Voll;SN68860;25.03.2015;1018,8;1016,4
Trondheim - Voll;SN68860;26.03.2015;1016,9;1006,8
Trondheim - Voll;SN68860;27.03.2015;1009,4;1007,2
Trondheim - Voll;SN68860;28.03.2015;1009,4;987
Trondheim - Voll;SN68860;29.03.2015;986;981,7
Trondheim - Voll;SN68860;30.03.2015;987,2;982,7
Trondheim - Voll;SN68860;31.03.2015;985,9;981,9
Trondheim - Voll;SN68860;01.04.2015;999,6;986,4
Trondheim - Voll;SN68860;02.04.2015;1011,8;1000,2
Trondheim - Voll;SN68860;03.04.2015;1021,5;1012,5
Trondheim - Voll;SN68860;04.04.2015;1023;1021,8
Trondheim - Voll;SN68860;05.04.2015;1022,6;1020,4
Trondheim - Voll;SN68860;06.04.2015;1024,1;1016,4
Trondheim - Voll;SN68860;07.04.2015;1018,5;1016,4
Trondheim - Voll;SN68860;08.04.2015;1027;1019,2
Trondheim - Voll;SN68860;09.04.2015;1018,5;1009,8
Trondheim - Voll;SN68860;10.04.2015;1013,1;1004,8
Trondheim - Voll;SN68860;11.04.2015;1011,1;998,4
Trondheim - Voll;SN68860;12.04.2015;1004;1001,9
Trondheim - Voll;SN68860;13.04.2015;1019,8;1004,4
Trondheim - Voll;SN68860;14.04.2015;1017,5;999,9
Trondheim - Voll;SN68860;15.04.2015;1001,1;997,1
Trondheim - Voll;SN68860;16.04.2015;1015,2;1000
Trondheim - Voll;SN68860;17.04.2015;1028,5;1015,9
Trondheim - Voll;SN68860;18.04.2015;1030,3;1025,8
Trondheim - Voll;SN68860;19.04.2015;1031,6;1030,1
Trondheim - Voll;SN68860;20.04.2015;1031,3;1030,2
Trondheim - Voll;SN68860;21.04.2015;1030,4;1025,3
Trondheim - Voll;SN68860;22.04.2015;1025,7;1004,7
Trondheim - Voll;SN68860;23.04.2015;1005,8;1002,6
Trondheim - Voll;SN68860;24.04.2015;1004;1001,3
Trondheim - Voll;SN68860;25.04.2015;1002,9;987,1
Trondheim - Voll;SN68860;26.04.2015;1001,9;989,2
Trondheim - Voll;SN68860;27.04.2015;1005,6;1002,3
Trondheim - Voll;SN68860;28.04.2015;1011,4;1005,9
Trondheim - Voll;SN68860;29.04.2015;1010,9;1007,6
Trondheim - Voll;SN68860;30.04.2015;1009,3;1006,3
Trondheim - Voll;SN68860;01.05.2015;1013,2;1008,5
Trondheim - Voll;SN68860;02.05.2015;1013,9;1012,9
Trondheim - Voll;SN68860;03.05.2015;1014,1;1011,7
Trondheim - Voll;SN68860;04.05.2015;1011,3;1003,1
Trondheim - Voll;SN68860;05.05.2015;1006,1;996,9
Trondheim - Voll;SN68860;06.05.2015;1000,2;993,5
Trondheim - Voll;SN68860;07.05.2015;1002,7;996,9
Trondheim - Voll;SN68860;08.05.2015;1013,4;1003,3
Trondheim - Voll;SN68860;09.05.2015;1014,5;1011,7
Trondheim - Voll;SN68860;10.05.2015;1018,9;1012,6
Trondheim - Voll;SN68860;11.05.2015;1016,8;1002,3
Trondheim - Voll;SN68860;12.05.2015;1002,6;1000,5
Trondheim - Voll;SN68860;13.05.2015;1012,4;1002
Trondheim - Voll;SN68860;14.05.2015;1016,7;1012,5
Trondheim - Voll;SN68860;15.05.2015;1017,3;1011,9
Trondheim - Voll;SN68860;16.05.2015;1011,2;1003,3
Trondheim - Voll;SN68860;17.05.2015;1009,7;1008,6
