Navn;Stasjon;Tid(norsk normaltid);Pent vær (døgn);Overskya vær (døgn);Gjennomsnittlig skydekke (døgn)
Trondheim - Voll;SN68860;01.01.2015;0;1;6,7
Trondheim - Voll;SN68860;02.01.2015;0;1;7,3
Trondheim - Voll;SN68860;03.01.2015;0;1;7
Trondheim - Voll;SN68860;04.01.2015;0;1;7
Trondheim - Voll;SN68860;05.01.2015;0;0;5,3
Trondheim - Voll;SN68860;06.01.2015;0;1;6,7
Trondheim - Voll;SN68860;07.01.2015;0;0;3,7
Trondheim - Voll;SN68860;08.01.2015;0;0;5,7
Trondheim - Voll;SN68860;09.01.2015;1;0;1,3
Trondheim - Voll;SN68860;10.01.2015;0;0;5,3
Trondheim - Voll;SN68860;11.01.2015;0;0;6,3
Trondheim - Voll;SN68860;12.01.2015;0;0;5,3
Trondheim - Voll;SN68860;13.01.2015;0;0;3,3
Trondheim - Voll;SN68860;14.01.2015;0;0;5,3
Trondheim - Voll;SN68860;15.01.2015;0;0;4
Trondheim - Voll;SN68860;16.01.2015;1;0;2
Trondheim - Voll;SN68860;17.01.2015;0;0;6,3
Trondheim - Voll;SN68860;18.01.2015;0;0;4,3
Trondheim - Voll;SN68860;19.01.2015;1;0;1,7
Trondheim - Voll;SN68860;20.01.2015;1;0;2
Trondheim - Voll;SN68860;21.01.2015;0;0;3,7
Trondheim - Voll;SN68860;22.01.2015;1;0;1,7
Trondheim - Voll;SN68860;23.01.2015;0;0;2,3
Trondheim - Voll;SN68860;24.01.2015;0;0;4,7
Trondheim - Voll;SN68860;25.01.2015;0;0;5,3
Trondheim - Voll;SN68860;26.01.2015;0;0;4,7
Trondheim - Voll;SN68860;27.01.2015;0;0;6,3
Trondheim - Voll;SN68860;28.01.2015;0;1;7,7
Trondheim - Voll;SN68860;29.01.2015;0;0;6,3
Trondheim - Voll;SN68860;30.01.2015;0;0;5,7
Trondheim - Voll;SN68860;31.01.2015;1;0;1,3
Trondheim - Voll;SN68860;01.02.2015;0;1;7,7
Trondheim - Voll;SN68860;02.02.2015;0;1;7,3
Trondheim - Voll;SN68860;03.02.2015;0;1;8
Trondheim - Voll;SN68860;04.02.2015;0;1;8
Trondheim - Voll;SN68860;05.02.2015;0;1;7,7
Trondheim - Voll;SN68860;06.02.2015;0;0;6
Trondheim - Voll;SN68860;07.02.2015;0;1;7,7
Trondheim - Voll;SN68860;08.02.2015;0;1;8
Trondheim - Voll;SN68860;09.02.2015;0;1;7,7
Trondheim - Voll;SN68860;10.02.2015;0;1;6,7
Trondheim - Voll;SN68860;11.02.2015;0;0;4,7
Trondheim - Voll;SN68860;12.02.2015;0;0;6,3
Trondheim - Voll;SN68860;13.02.2015;0;1;6,7
Trondheim - Voll;SN68860;14.02.2015;0;1;7,7
Trondheim - Voll;SN68860;15.02.2015;1;0;3
Trondheim - Voll;SN68860;16.02.2015;1;0;0,3
Trondheim - Voll;SN68860;17.02.2015;0;0;5,3
Trondheim - Voll;SN68860;18.02.2015;0;1;6,7
Trondheim - Voll;SN68860;19.02.2015;0;0;4,7
Trondheim - Voll;SN68860;20.02.2015;1;0;2,3
Trondheim - Voll;SN68860;21.02.2015;0;0;5
Trondheim - Voll;SN68860;22.02.2015;0;0;3,7
Trondheim - Voll;SN68860;23.02.2015;0;0;5,7
Trondheim - Voll;SN68860;24.02.2015;1;0;0,3
Trondheim - Voll;SN68860;25.02.2015;0;0;4,3
Trondheim - Voll;SN68860;26.02.2015;0;0;4
Trondheim - Voll;SN68860;27.02.2015;0;0;3
Trondheim - Voll;SN68860;28.02.2015;0;0;6
Trondheim - Voll;SN68860;01.03.2015;0;0;6
Trondheim - Voll;SN68860;02.03.2015;0;0;5,7
Trondheim - Voll;SN68860;03.03.2015;1;0;2
Trondheim - Voll;SN68860;04.03.2015;0;0;4,3
Trondheim - Voll;SN68860;05.03.2015;0;0;4,7
Trondheim - Voll;SN68860;06.03.2015;0;0;4,3
Trondheim - Voll;SN68860;07.03.2015;0;0;6,3
Trondheim - Voll;SN68860;08.03.2015;0;1;7
Trondheim - Voll;SN68860;09.03.2015;0;1;6,7
Trondheim - Voll;SN68860;10.03.2015;0;1;6,7
Trondheim - Voll;SN68860;11.03.2015;1;0;1,3
Trondheim - Voll;SN68860;12.03.2015;0;0;3,7
Trondheim - Voll;SN68860;13.03.2015;1;0;0,7
Trondheim - Voll;SN68860;14.03.2015;1;0;0
Trondheim - Voll;SN68860;15.03.2015;1;0;0
Trondheim - Voll;SN68860;16.03.2015;1;0;0,7
Trondheim - Voll;SN68860;17.03.2015;1;0;2,3
Trondheim - Voll;SN68860;18.03.2015;0;0;5
Trondheim - Voll;SN68860;19.03.2015;0;1;8
Trondheim - Voll;SN68860;20.03.2015;0;0;6,3
Trondheim - Voll;SN68860;21.03.2015;0;0;3,3
Trondheim - Voll;SN68860;22.03.2015;0;1;7,7
Trondheim - Voll;SN68860;23.03.2015;0;0;6
Trondheim - Voll;SN68860;24.03.2015;0;0;4
Trondheim - Voll;SN68860;25.03.2015;1;0;1
Trondheim - Voll;SN68860;26.03.2015;0;0;5,3
Trondheim - Voll;SN68860;27.03.2015;0;1;6,7
Trondheim - Voll;SN68860;28.03.2015;0;0;4,3
Trondheim - Voll;SN68860;29.03.2015;0;1;6,7
Trondheim - Voll;SN68860;30.03.2015;0;0;5,7
Trondheim - Voll;SN68860;31.03.2015;0;0;4
Trondheim - Voll;SN68860;01.04.2015;0;1;6,7
Trondheim - Voll;SN68860;02.04.2015;0;1;7
Trondheim - Voll;SN68860;03.04.2015;0;1;6,7
Trondheim - Voll;SN68860;04.04.2015;0;0;2,7
Trondheim - Voll;SN68860;05.04.2015;0;0;5,3
Trondheim - Voll;SN68860;06.04.2015;0;1;7,7
Trondheim - Voll;SN68860;07.04.2015;0;1;8
Trondheim - Voll;SN68860;08.04.2015;0;0;5
Trondheim - Voll;SN68860;09.04.2015;0;1;7,3
Trondheim - Voll;SN68860;10.04.2015;0;1;8
Trondheim - Voll;SN68860;11.04.2015;0;0;5,3
Trondheim - Voll;SN68860;12.04.2015;0;0;6,3
Trondheim - Voll;SN68860;13.04.2015;0;0;6,3
Trondheim - Voll;SN68860;14.04.2015;0;0;6,3
Trondheim - Voll;SN68860;15.04.2015;0;1;8
Trondheim - Voll;SN68860;16.04.2015;0;1;7,3
Trondheim - Voll;SN68860;17.04.2015;0;0;5,7
Trondheim - Voll;SN68860;18.04.2015;0;1;7,3
