Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Høyeste middelvind (døgn);Nedbør (døgn)
Trondheim - Voll;SN68860;01.01.2015;6;2,1;4,1;1,4
Trondheim - Voll;SN68860;02.01.2015;3,9;0,4;6,7;4,1
Trondheim - Voll;SN68860;03.01.2015;2,4;-1;5,6;7
Trondheim - Voll;SN68860;04.01.2015;0,5;-1,2;7,6;7,1
Trondheim - Voll;SN68860;05.01.2015;1,3;-2,8;5,5;7,9
Trondheim - Voll;SN68860;06.01.2015;5;0;6,3;0,4
Trondheim - Voll;SN68860;07.01.2015;5,9;-0,6;6,5;0,6
Trondheim - Voll;SN68860;08.01.2015;5,1;-0,6;6,5;2,4
Trondheim - Voll;SN68860;09.01.2015;2,5;-6,1;4,7;0
Trondheim - Voll;SN68860;10.01.2015;0,1;-8,2;7,3;0
Trondheim - Voll;SN68860;11.01.2015;-0,9;-10,4;9,3;0,1
Trondheim - Voll;SN68860;12.01.2015;-1,3;-11,5;3,8;0
Trondheim - Voll;SN68860;13.01.2015;4,1;-4,8;9,4;0,7
Trondheim - Voll;SN68860;14.01.2015;2,4;-3,3;7,1;0
Trondheim - Voll;SN68860;15.01.2015;4,3;-0,9;10,8;0
Trondheim - Voll;SN68860;16.01.2015;4,2;1,5;7,4;0
Trondheim - Voll;SN68860;17.01.2015;3,5;0,9;5,2;0
Trondheim - Voll;SN68860;18.01.2015;2,7;-1,1;7,2;2,7
Trondheim - Voll;SN68860;19.01.2015;0;-3,5;4,6;0
Trondheim - Voll;SN68860;20.01.2015;-0,3;-4,2;6;0
Trondheim - Voll;SN68860;21.01.2015;0,8;-2,1;6;0
Trondheim - Voll;SN68860;22.01.2015;-0,9;-7,3;4,8;0
Trondheim - Voll;SN68860;23.01.2015;-5,7;-11,6;3,5;0
Trondheim - Voll;SN68860;24.01.2015;2;-6,3;6,8;0,3
Trondheim - Voll;SN68860;25.01.2015;2,5;-4;4,6;0,3
Trondheim - Voll;SN68860;26.01.2015;6,2;0,2;7,3;2,4
Trondheim - Voll;SN68860;27.01.2015;4,9;0;6,8;1,4
Trondheim - Voll;SN68860;28.01.2015;5,8;1,9;6,2;2,5
Trondheim - Voll;SN68860;29.01.2015;4,5;0,5;4,4;0,9
Trondheim - Voll;SN68860;30.01.2015;2,8;-0,3;7,9;0
Trondheim - Voll;SN68860;31.01.2015;1,2;-2,1;6,7;0
