Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid,E6-Tiller PM10 µg/m³ Day,Dekning,E6-Tiller PM2.5 µg/m³ Day,Dekning,Elgeseter PM10 µg/m³ Day,Dekning,Elgeseter PM2.5 µg/m³ Day,Dekning,Elgeseter mobil PM10 µg/m³ Day,Dekning,Elgeseter mobil PM2.5 µg/m³ Day,Dekning,Omkjøringsvegen PM10 µg/m³ Day,Dekning,Omkjøringsvegen PM2.5 µg/m³ Day,Dekning,Torvet PM10 µg/m³ Day,Dekning,Torvet PM2.5 µg/m³ Day,Dekning,Åsveien skole PM10 µg/m³ Day,Dekning,Åsveien skole PM2.5 µg/m³ Day,Dekning,Bakke kirke PM10 µg/m³ Day,Dekning,Bakke kirke PM2.5 µg/m³ Day,Dekning
01.01.2015 00:00,23.4194291375,100,20.8014058708,100,19.5359563771,100,16.908342325,100,23.0220833333,100,17.8166666667,100,,,,,13.3833333333,100,12.375,100,,,,,23.299882357,100,20.323387416,100
02.01.2015 00:00,8.16957815,100,6.6670286667,100,4.6292405313,100,3.3779602833,100,7.7733333333,100,5.2083333333,100,,,,,3.9833333333,100,3.6541666667,100,,,,,5.3489862833,100,3.7530860931,100
03.01.2015 00:00,6.5954619146,100,4.6846467035,100,3.4327996545,92,0.6107020818,92,9.9733333333,100,6.1833333333,100,,,,,3.7625,100,3.0166666667,100,,,,,3.6931782522,96,1.1715043464,96
04.01.2015 00:00,5.6278890139,100,3.8903931097,100,4.021426145,83,0.82197239,83,10.7341666667,100,6.6708333333,100,,,,,4.7083333333,100,3.6541666667,100,,,,,4.4662554264,100,1.6533539083,100
05.01.2015 00:00,14.8284520299,100,10.1253700819,100,16.0597554957,96,10.4273174065,96,20.9,100,12.6541666667,100,,,,,12.5,100,10.9041666667,100,,,,,14.1738070611,100,10.6924982625,100
06.01.2015 00:00,13.4561061833,100,9.9202812035,100,18.6183405543,96,13.1625060043,96,20.3133333333,100,11.3416666667,100,,,,,10.1208333333,100,8.6125,100,,,,,13.6063411861,100,10.8585994278,100
07.01.2015 00:00,7.5583155368,100,5.8326137639,100,11.7844756229,100,6.9681909521,100,47.9279166667,100,13.8041666667,100,,,,,6.4791666667,100,5.7583333333,100,,,,,9.4073149819,100,7.6898637944,100
08.01.2015 00:00,11.0869449431,100,8.5330515965,100,7.5177249868,79,3.8289814132,79,11.0595833333,100,6.4333333333,100,,,,,5.0833333333,100,4.1476190476,88,,,,,6.3886245278,100,4.4587547458,100
09.01.2015 00:00,13.1214946577,100,11.0662570271,100,8.9012753758,92,6.7395421159,92,12.00375,100,7.7208333333,100,,,,,8.3625,100,7.275,100,,,,,9.1638274806,100,7.5097924611,100
10.01.2015 00:00,7.9801844913,88,6.5264482659,88,6.7487126674,92,4.5689276379,92,7.96125,100,4.1208333333,100,,,,,5.9958333333,100,3.95,100,,,,,8.532693632,100,3.4662527514,100
