"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|NO3","Actual Total Load [MW] - BZN|NO3"
"01.01.2015 00:00 - 01.01.2015 01:00","2430","2354"
"01.01.2015 01:00 - 01.01.2015 02:00","2436","2370"
"01.01.2015 02:00 - 01.01.2015 03:00","2383","2307"
"01.01.2015 03:00 - 01.01.2015 04:00","2355","2273"
"01.01.2015 04:00 - 01.01.2015 05:00","2352","2286"
"01.01.2015 05:00 - 01.01.2015 06:00","2391","2333"
"01.01.2015 06:00 - 01.01.2015 07:00","2407","2339"
"01.01.2015 07:00 - 01.01.2015 08:00","2457","2354"
"01.01.2015 08:00 - 01.01.2015 09:00","2442","2324"
"01.01.2015 09:00 - 01.01.2015 10:00","2478","2351"
"01.01.2015 10:00 - 01.01.2015 11:00","2448","2322"
"01.01.2015 11:00 - 01.01.2015 12:00","2463","2344"
"01.01.2015 12:00 - 01.01.2015 13:00","2572","2490"
"01.01.2015 13:00 - 01.01.2015 14:00","2603","2526"
"01.01.2015 14:00 - 01.01.2015 15:00","2639","2565"
"01.01.2015 15:00 - 01.01.2015 16:00","2689","2613"
"01.01.2015 16:00 - 01.01.2015 17:00","2754","2694"
"01.01.2015 17:00 - 01.01.2015 18:00","2656","2567"
"01.01.2015 18:00 - 01.01.2015 19:00","2656","2584"
"01.01.2015 19:00 - 01.01.2015 20:00","2694","2654"
"01.01.2015 20:00 - 01.01.2015 21:00","2680","2633"
"01.01.2015 21:00 - 01.01.2015 22:00","2734","2722"
"01.01.2015 22:00 - 01.01.2015 23:00","2640","2609"
"01.01.2015 23:00 - 02.01.2015 00:00","2579","2471"
"02.01.2015 00:00 - 02.01.2015 01:00","2412","2424"
"02.01.2015 01:00 - 02.01.2015 02:00","2354","2355"
"02.01.2015 02:00 - 02.01.2015 03:00","2342","2334"
"02.01.2015 03:00 - 02.01.2015 04:00","2326","2307"
"02.01.2015 04:00 - 02.01.2015 05:00","2318","2301"
"02.01.2015 05:00 - 02.01.2015 06:00","2349","2336"
"02.01.2015 06:00 - 02.01.2015 07:00","2433","2456"
