"Day of week","Min Total Load [MW] - BZN|NO3","Max Total Load [MW] - BZN|NO3"
"Mon 30.12.2019","3300","3902"
"Tue 31.12.2019","3277","3766"
"Wed 01.01.2020","3435","3869"
"Thu 02.01.2020","3313","3846"
"Fri 03.01.2020","3250","3746"
"Sat 04.01.2020","3117","3592"
"Sun 05.01.2020","3185","3662"
"Mon 06.01.2020","3358","3897"
"Tue 07.01.2020","3477","3965"
"Wed 08.01.2020","3471","3957"
"Thu 09.01.2020","3457","3942"
"Fri 10.01.2020","3421","3908"
"Sat 11.01.2020","3269","3767"
"Sun 12.01.2020","3396","3950"
"Mon 13.01.2020","3614","4035"
"Tue 14.01.2020","3506","3993"
"Wed 15.01.2020","3506","3993"
"Thu 16.01.2020","3491","3975"
"Fri 17.01.2020","3478","3970"
"Sat 18.01.2020","3401","3829"
"Sun 19.01.2020","3341","3773"
"Mon 20.01.2020","3423","4036"
"Tue 21.01.2020","3505","4037"
"Wed 22.01.2020","3505","4037"
"Thu 23.01.2020","3505","4037"
"Fri 24.01.2020","3509","4037"
"Sat 25.01.2020","3405","3833"
"Sun 26.01.2020","3345","3777"
"Mon 27.01.2020","3398","4006"
"Tue 28.01.2020","3478","4006"
"Wed 29.01.2020","3394","3905"
"Thu 30.01.2020","3394","3905"
"Fri 31.01.2020","3419","3929"
"Sat 01.02.2020","3510","3843"
"Sun 02.02.2020","3420","3799"
"Mon 03.02.2020","3466","3948"
"Tue 04.02.2020","3443","3937"
"Wed 05.02.2020","3426","3913"
"Thu 06.02.2020","3464","3955"
"Fri 07.02.2020","3517","3990"
"Sat 08.02.2020","3562","3899"
"Sun 09.02.2020","3486","3872"
"Mon 10.02.2020","3519","4005"
"Tue 11.02.2020","3471","3964"
"Wed 12.02.2020","3430","3917"
"Thu 13.02.2020","3413","3897"
"Fri 14.02.2020","3420","3878"
"Sat 15.02.2020","3440","3764"
"Sun 16.02.2020","3319","3652"
"Mon 17.02.2020","3394","3864"
"Tue 18.02.2020","3356","3875"
"Wed 19.02.2020","3362","3974"
"Thu 20.02.2020","3362","3974"
"Fri 21.02.2020","3321","3780"
"Sat 22.02.2020","3174","3503"
"Sun 23.02.2020","3356","3692"
"Mon 24.02.2020","3437","3903"
"Tue 25.02.2020","3356","3872"
"Wed 26.02.2020","3346","3861"
"Thu 27.02.2020","3370","3889"
"Fri 28.02.2020","3433","3904"
"Sat 29.02.2020","3312","3651"
"Sun 01.03.2020","3340","3679"
"Mon 02.03.2020","3357","3898"
"Tue 03.03.2020","3531","3998"
"Wed 04.03.2020","3466","4055"
"Thu 05.03.2020","3618","4094"
"Fri 06.03.2020","3597","4085"
"Sat 07.03.2020","3423","3742"
"Sun 08.03.2020","3433","3786"
"Mon 09.03.2020","3485","4045"
"Tue 10.03.2020","3588","4062"
"Wed 11.03.2020","3548","4017"
"Thu 12.03.2020","3519","3984"
"Fri 13.03.2020","3464","3933"
"Sat 14.03.2020","3270","3575"
"Sun 15.03.2020","3297","3635"
"Mon 16.03.2020","3514","3753"
"Tue 17.03.2020","3441","3700"
"Wed 18.03.2020","3442","3699"
"Thu 19.03.2020","3384","3925"
"Fri 20.03.2020","3456","3741"
"Sat 21.03.2020","3367","3735"
"Sun 22.03.2020","3626","3899"
"Mon 23.03.2020","3516","3752"
"Tue 24.03.2020","3439","3694"
"Wed 25.03.2020","3439","3694"
"Thu 26.03.2020","3439","3694"
"Fri 27.03.2020","3406","3688"
"Sat 28.03.2020","3301","3661"
"Sun 29.03.2020","3559","3812"
"Mon 30.03.2020","3428","3663"
"Tue 31.03.2020","3321","3563"
"Wed 01.04.2020","3368","3616"
"Thu 02.04.2020","3380","3631"
"Fri 03.04.2020","3383","3707"
"Sat 04.04.2020","3299","3570"
"Sun 05.04.2020","3292","3539"
"Mon 06.04.2020","3487","3911"
"Tue 07.04.2020","3459","3819"
"Wed 08.04.2020","3284","3593"
"Thu 09.04.2020","2910","3269"
"Fri 10.04.2020","2902","3249"
"Sat 11.04.2020","3057","3297"
"Sun 12.04.2020","3086","3308"
"Mon 13.04.2020","2831","3043"
"Tue 14.04.2020","3151","3421"
"Wed 15.04.2020","3309","3575"
"Thu 16.04.2020","3182","3435"
"Fri 17.04.2020","3098","3359"
"Sat 18.04.2020","3265","3494"
"Sun 19.04.2020","3165","3354"
"Mon 20.04.2020","3197","3384"
"Tue 21.04.2020","3109","3408"
"Wed 22.04.2020","3105","3401"
"Thu 23.04.2020","3089","3381"
"Fri 24.04.2020","3079","3428"
"Sat 25.04.2020","3090","3246"
"Sun 26.04.2020","2987","3173"
"Mon 27.04.2020","3194","3380"
"Tue 28.04.2020","3077","3368"
"Wed 29.04.2020","3081","3374"
"Thu 30.04.2020","3088","3382"
"Fri 01.05.2020","3135","3275"
"Sat 02.05.2020","3168","3288"
"Sun 03.05.2020","3047","3261"
"Mon 04.05.2020","3043","3415"
"Tue 05.05.2020","2980","3378"
"Wed 06.05.2020","2980","3378"
"Thu 07.05.2020","2980","3378"
"Fri 08.05.2020","3040","3431"
"Sat 09.05.2020","3095","3209"
"Sun 10.05.2020","3099","3318"
"Mon 11.05.2020","3051","3410"
"Tue 12.05.2020","2982","3350"
"Wed 13.05.2020","3000","3370"
"Thu 14.05.2020","3027","3400"
"Fri 15.05.2020","3100","3472"
"Sat 16.05.2020","2914","3125"
"Sun 17.05.2020","2924","3161"
"Mon 18.05.2020","2880","3385"
"Tue 19.05.2020","2908","3360"
"Wed 20.05.2020","2908","3360"
"Thu 21.05.2020","2856","3087"
"Fri 22.05.2020","2906","3125"
"Sat 23.05.2020","2845","3050"
"Sun 24.05.2020","2856","3087"
"Mon 25.05.2020","2864","3368"
"Tue 26.05.2020","2852","3295"
"Wed 27.05.2020","2825","3265"
"Thu 28.05.2020","2815","3252"
"Fri 29.05.2020","2781","3254"
"Sat 30.05.2020","2752","2950"
"Sun 31.05.2020","2762","2987"
"Mon 01.06.2020","2587","2794"
"Tue 02.06.2020","2619","3033"
"Wed 03.06.2020","2669","3033"
"Thu 04.06.2020","2669","3033"
"Fri 05.06.2020","2666","3037"
"Sat 06.06.2020","2479","2688"
"Sun 07.06.2020","2473","2754"
"Mon 08.06.2020","2535","2989"
"Tue 09.06.2020","2626","2984"
"Wed 10.06.2020","2626","2984"
"Thu 11.06.2020","2709","3080"
"Fri 12.06.2020","2698","3075"
"Sat 13.06.2020","2489","2699"
"Sun 14.06.2020","2478","2760"
"Mon 15.06.2020","2481","2858"
"Tue 16.06.2020","2597","2845"
"Wed 17.06.2020","2630","2871"
"Thu 18.06.2020","2630","2871"
"Fri 19.06.2020","2551","3039"
"Sat 20.06.2020","2515","2805"
"Sun 21.06.2020","2328","2589"
"Mon 22.06.2020","2404","2772"
"Tue 23.06.2020","2586","2811"
"Wed 24.06.2020","2599","2824"
"Thu 25.06.2020","2597","2822"
"Fri 26.06.2020","2586","3021"
"Sat 27.06.2020","2496","2757"
"Sun 28.06.2020","2313","2577"
"Mon 29.06.2020","2412","2707"
"Tue 30.06.2020","2466","2741"
"Wed 01.07.2020","2469","2745"
"Thu 02.07.2020","2420","2721"
"Fri 03.07.2020","2418","2800"
"Sat 04.07.2020","2466","2670"
"Sun 05.07.2020","2503","2738"
"Mon 06.07.2020","2517","2796"
"Tue 07.07.2020","2476","2812"
"Wed 08.07.2020","2476","2812"
"Thu 09.07.2020","2476","2812"
"Fri 10.07.2020","2486","2805"
"Sat 11.07.2020","2437","2638"
"Sun 12.07.2020","2440","2668"
"Mon 13.07.2020","2476","2738"
"Tue 14.07.2020","2461","2752"
"Wed 15.07.2020","2463","2753"
"Thu 16.07.2020","2438","2726"
"Fri 17.07.2020","2427","2677"
"Sat 18.07.2020","2333","2527"
"Sun 19.07.2020","2333","2541"
"Mon 20.07.2020","2393","2655"
"Tue 21.07.2020","2423","2646"
"Wed 22.07.2020","2423","2646"
"Thu 23.07.2020","2423","2646"
"Fri 24.07.2020","2413","2635"
