,Power_Usage
2015-01-01,9048663
2015-02-01,7955466
2015-03-01,7761715
2015-04-01,6369252
2015-05-01,5730709
2015-06-01,4768589
2015-07-01,4169358
2015-08-01,4316744
2015-09-01,4858782
2015-10-01,6319174
2015-11-01,7347644
2015-12-01,8338415
2016-01-01,10274867
2016-02-01,8599997
2016-03-01,7956482
2016-04-01,6755002
2016-05-01,5234186
2016-06-01,4308981
2016-07-01,4040821
2016-08-01,4486430
2016-09-01,4556104
2016-10-01,6572194
2016-11-01,8241469
2016-12-01,8441660
2017-01-01,9088141
2017-02-01,8272339
2017-03-01,8180206
2017-04-01,6669010
2017-05-01,5470886
2017-06-01,4497402
2017-07-01,4025013
2017-08-01,4450396
2017-09-01,4879050
2017-10-01,6408009
2017-11-01,8007466
2017-12-01,9248247
2018-01-01,9614852
2018-02-01,8946884
2018-03-01,9429509
2018-04-01,6798086
2018-05-01,4936871
2018-06-01,4395588
2018-07-01,3865573
2018-08-01,4389047
2018-09-01,4982448
2018-10-01,6613957
2018-11-01,7515064
2018-12-01,9037534
2019-01-01,9686832
2019-02-01,8046000
2019-03-01,8265222
2019-04-01,6135742
2019-05-01,5672466
2019-06-01,4603697
2019-07-01,4219124
2019-08-01,4396276
2019-09-01,5140182
2019-10-01,6969884
2019-11-01,8500694
2019-12-01,8907503
2020-01-01,8496089
2020-02-01,8149253
2020-03-01,8106098
2020-04-01,6451766
2020-05-01,5808536
2020-06-01,4320656
2020-07-01,4358176
2020-08-01,4479937
2020-09-01,5182440
2020-10-01,6556626
2020-11-01,7345266
2020-12-01,8557345
2021-01-01,10569586
2021-02-01,9482403
2021-03-01,8318098
2021-04-01,7010978
2021-05-01,5880789
2021-06-01,4485825
2021-07-01,4170182
2021-08-01,4612693
2021-09-01,5071658
2021-10-01,6329080
2021-11-01,7562304
2021-12-01,9298237
