,Month,Year,Station_Name,Max_Temp,Min_Temp,Mean_Temp,Max_Wind,Rain,Is_Rain,UVA,UVB,Max_Pressure,Min_Pressure,Traffic,Max_Power,Min_Power,Pollution_PM25,Pollution_PM10
2015-01-01,1,2015,Trondheim - Voll,6.0,2.1,4.05,4.1,1.4,1,13070.0,15.302,1008.8,984.5,6206,3132,2744,16.908342325,19.5359563771
2015-01-02,1,2015,Trondheim - Voll,3.9,0.4,2.15,6.7,4.1,1,14381.0,9.3288,987.5,979.5,14447,3095,2603,3.3779602833,4.6292405313
2015-01-03,1,2015,Trondheim - Voll,2.4,-1.0,0.7,5.6,7.0,1,16815.0,10.956,1003.3,988.6,9985,2993,2577,0.6107020818,3.4327996545
2015-01-04,1,2015,Trondheim - Voll,0.5,-1.2,-0.35,7.6,7.1,1,14718.0,12.494,1018.2,1004.5,8528,3069,2754,0.82197239,4.021426145
2015-01-05,1,2015,Trondheim - Voll,1.3,-2.8,-0.7499999999999999,5.5,7.9,1,26206.0,62.579,1020.4,1017.5,18138,3066,2580,10.4273174065,16.0597554957
2015-01-06,1,2015,Trondheim - Voll,5.0,0.0,2.5,6.3,0.4,1,16270.0,30.223,1017.2,1001.9,18296,3008,2443,13.1625060043,18.6183405543
2015-01-07,1,2015,Trondheim - Voll,5.9,-0.6,2.6500000000000004,6.5,0.6,1,32218.0,61.15,1009.5,993.4,19019,3097,2594,6.9681909521,11.7844756229
2015-01-08,1,2015,Trondheim - Voll,5.1,-0.6,2.25,6.5,2.4,1,32666.0,29.837,994.6,987.7,18553,3097,2594,3.8289814132,7.5177249868
2015-01-09,1,2015,Trondheim - Voll,2.5,-6.1,-1.7999999999999998,4.7,0.0,0,34455.0,18.547,994.4,990.7,18853,3196,2664,6.7395421159,8.9012753758
2015-01-10,1,2015,Trondheim - Voll,0.1,-8.2,-4.05,7.3,0.0,0,10957.0,5.4461,990.3,964.8,11679,3135,2675,4.5689276379,6.7487126674
2015-01-11,1,2015,Trondheim - Voll,-0.9,-10.4,-5.65,9.3,0.1,1,35563.0,22.028,993.6,976.6,9376,3162,2781,18.7007546764,28.965819516
2015-01-12,1,2015,Trondheim - Voll,-1.3,-11.5,-6.4,3.8,0.0,0,14615.0,6.4485,992.2,971.0,18796,3284,2853,10.815549025,15.1682290778
2015-01-13,1,2015,Trondheim - Voll,4.1,-4.8,-0.3500000000000001,9.4,0.7,1,39809.0,7.9851,978.7,971.6,18991,3235,2706,5.0620684429,7.0801679905
2015-01-14,1,2015,Trondheim - Voll,2.4,-3.3,-0.44999999999999996,7.1,0.0,0,39175.0,7.6737,986.3,978.1,19016,3235,2706,3.9845795903,7.4760987167
2015-01-15,1,2015,Trondheim - Voll,4.3,-0.9,1.7,10.8,0.0,0,15896.0,11.392,987.4,975.0,19460,3253,2721,2.4635317403,6.4739619194
2015-01-16,1,2015,Trondheim - Voll,4.2,1.5,2.85,7.4,0.0,0,37766.0,17.042,979.1,971.1,18805,3299,2761,9.7262693292,13.7223542083
2015-01-17,1,2015,Trondheim - Voll,3.5,0.9,2.2,5.2,0.0,0,28892.0,8.2185,998.4,980.0,12284,3232,2804,2.7840805125,4.9170205097
2015-01-18,1,2015,Trondheim - Voll,2.7,-1.1,0.8,7.2,2.7,1,41873.0,10.359,1013.8,999.0,10355,3141,2748,4.6103389153,8.7227146417
2015-01-19,1,2015,Trondheim - Voll,0.0,-3.5,-1.75,4.6,0.0,0,52912.0,22.785,1020.1,1014.1,19252,3289,2776,1.3314064725,2.7810617058
